"external_gene_name","hsapiens_homolog_associated_gene_name"
"GLMN","GLMN"
"PRELID1","PRELID1"
"SERPINB13","SERPINB13"
"","C3orf38"
"DEFB129","DEFB129"
"INHBC","INHBC"
"ZSCAN29","ZSCAN29"
"PDK2","PDK2"
"PELP1","PELP1"
"PIP5K1C","PIP5K1C"
"DEFB128","DEFB128"
"PYM1","PYM1"
"ATL3","ATL3"
"","TUBA4B"
"LRWD1","LRWD1"
"NSD1","NSD1"
"DEFB127","DEFB127"
"SHPRH","SHPRH"
"","HNRNPA1L3"
"ZNF654","ZNF654"
"DNAJB2","DNAJB2"
"EZH1","EZH1"
"CPA1","CPA1"
"DEFB126","DEFB126"
"KCTD6","KCTD6"
"SAMD14","SAMD14"
"PDCL","PDCL"
"XKR7","XKR7"
"OGG1","OGG1"
"ARMH1","ARMH1"
"NETO1","NETO1"
"SLC4A9","SLC4A9"
"MACROD1","MACROD1"
"BTBD8","BTBD8"
"MAPKAP1","MAPKAP1"
"MTHFS","MTHFS"
"KNTC1","KNTC1"
"LCMT2","LCMT2"
"DGKA","DGKA"
"CCM2L","CCM2L"
"TMEM185A","TMEM185A"
"TMPRSS15","TMPRSS15"
"HDX","HDX"
"SENP1","SENP1"
"CFAP298","CFAP298"
"CNOT9","CNOT9"
"APBA3","APBA3"
"CNTNAP1","CNTNAP1"
"SP140","SP140"
"TADA3","TADA3"
"KHK","KHK"
"ORAI2","ORAI2"
"DYNC1LI1","DYNC1LI1"
"KIR3DL","KIR2DL1"
"KIR3DL","KIR3DL2"
"KIR3DL","KIR2DL3"
"KIR3DL","KIR2DS4"
"KIR3DL","KIR3DL3"
"KIR3DL","KIR3DL1"
"KIR3DL","KIR2DL4"
"RTN3","RTN3"
"NINJ1","NINJ1"
"TJP3","TJP3"
"MORF4L1","MORF4L1"
"CAMK1","CAMK1"
"","RNF220"
"CGGBP1","CGGBP1"
"NCR1","NCR1"
"PMEL","PMEL"
"FGD3","FGD3"
"ALKBH4","ALKBH4"
"PAXBP1","PAXBP1"
"CEP41","CEP41"
"ARRB2","ARRB2"
"PPP1R9B","PPP1R9B"
"TGM7","TGM7"
"HCK","HCK"
"PXK","PXK"
"CMTM6","CMTM6"
"HTR1F","HTR1F"
"RIMS1","RIMS1"
"","SP140"
"RAX2","RAX2"
"BRPF1","BRPF1"
"GPD1L","GPD1L"
"UBE2Q2","UBE2Q2"
"TGM5","TGM5"
"GALNT17","GALNT17"
"ATCAY","ATCAY"
"ERI3","ERI3"
"EPCIP","EPCIP"
"CCR10","CCR10"
"ZFTA","ZFTA"
"TENT5D","TENT5D"
"SGCA","SGCA"
"CCDC102B",""
"PLEKHH3","PLEKHH3"
"EPB41L5","EPB41L5"
"AGBL5","AGBL5"
"SLC11A1","SLC11A1"
"GBE1","GBE1"
"OSBPL10","OSBPL10"
"MED11","MED11"
"IKZF4","IKZF4"
"EEF2","EEF2"
"TUBG2",""
"MARK2","MARK2"
"BRWD3","BRWD3"
"NLRP2","NLRP2"
"HBEGF","HBEGF"
"EPB42","EPB42"
"PFKM","PFKM"
"FBXO30","FBXO30"
"DNAJC1","DNAJC1"
"NLRP1","NLRP1"
"MTM1","MTM1"
"BARHL2","BARHL2"
"ADAMTS1","ADAMTS1"
"GP6","GP6"
"TM9SF4","TM9SF4"
"GPR88","GPR88"
"OR6Z10",""
"PSMC3IP","PSMC3IP"
"PFDN1",""
"DMAP1","DMAP1"
"SP100","SP100"
"","SUSD3"
"CTDSP1","CTDSP1"
"RC3H2","RC3H2"
"NMRK2","NMRK2"
"PHLPP1","PHLPP1"
"SZT2","SZT2"
"STT3B","STT3B"
"RPS26","RPS26"
"MRPL39","MRPL39"
"ZNF787","ZNF787"
"PDP1","PDP1"
"MLLT10","MLLT10"
"MLX","MLX"
"DAPK3","DAPK3"
"H1-9",""
"PURA","PURA"
"CDK2","CDK2"
"CPNE9","CPNE9"
"ARSI","ARSI"
"CDH19","CDH19"
"U6","RNU6-922P"
"SLC8B1","SLC8B1"
"CARD19","CARD19"
"CDC14A","CDC14A"
"VIL1","VIL1"
"eca-mir-1388",""
"MIS12","MIS12"
"PIAS4","PIAS4"
"COASY","COASY"
"eca-mir-8963",""
"NCL","NCL"
"eca-mir-296",""
"FZD2","FZD2"
"SLC6A7","SLC6A7"
"PLAGL1","PLAGL1"
"ZNF444","ZNF444"
"IPPK","IPPK"
"eca-mir-1-2","MIR1-1"
"CDH17","CDH17"
"NRG2","NRG2"
"USP37","USP37"
"RAE1","RAE1"
"CCNDBP1","CCNDBP1"
"COL1A1","COL1A1"
"","CFAP221"
"CAPS2","CAPS2"
"EMILIN1","EMILIN1"
"DERL2","DERL2"
"ZBTB7A","ZBTB7A"
"CALN1","CALN1"
"MTMR14","MTMR14"
"BNIP1","BNIP1"
"TPCN1","TPCN1"
"GALP","GALP"
"ZC2HC1B","ZC2HC1B"
"DOK6","DOK6"
"ANKS1B","ANKS1B"
"ZSCAN5B","ZSCAN5C"
"ZSCAN5B","ZSCAN5A"
"ZSCAN5B","ZSCAN5B"
"GADL1","GADL1"
"TMEM214","TMEM214"
"EDDM13","EDDM13"
"SH3BGRL",""
"POU1F1","POU1F1"
"MAP2K2","MAP2K2"
"RCOR2","RCOR2"
"CREBRF","CREBRF"
"U6","RNU6-223P"
"U6","RNU6-123P"
"MYF5","MYF6"
"eca-mir-125b-2","MIR125B2"
"BAALC","BAALC"
"MIRLET7C","MIRLET7C"
"TPH2","TPH2"
"eca-mir-99a-2","MIR99A"
"JAM2","JAM2"
"LIN7A","LIN7A"
"CHRM2","CHRM2"
"CDX1","CDX1"
"ZNF667","ZNF667"
"TMEM62","TMEM62"
"NAA40","NAA40"
"FZD6","FZD6"
"CHMP2B","CHMP2B"
"CENPP","CENPP"
"CSF1R","CSF1R"
"C1QBP","C1QBP"
"NMUR1","NMUR1"
"","MAPRE3"
"","TYW1B"
"","TYW1"
"SETD5","SETD5"
"OSBPL2","OSBPL2"
"PBX3","PBX3"
"RPL26L1","RPL26L1"
"TEX44","TEX44"
"CREB3L3","CREB3L3"
"PSD2","PSD2"
"DPYSL5","DPYSL5"
"DHX33","DHX33"
"TRHDE","TRHDE"
"PLAGL2","PLAGL2"
"ERGIC1","ERGIC1"
"CTHRC1","CTHRC1"
"F9","F9"
"PTN","PTN"
"POFUT1","POFUT1"
"ZNF583","ZNF583"
"ANKRD2","ANKRD2"
"LTV1","LTV1"
"APOOL","APOOL"
"TGFBR2","TGFBR2"
"RTEL1","RTEL1"
"SLC25A32","SLC25A32"
"ASB8","ASB8"
"SIRT6","SIRT6"
"OTUB1","OTUB1"
"PDE6D","PDE6D"
"RTCA","RTCA"
"CD226","CD226"
"ECM2","ECM2"
"PDGFRB","PDGFRB"
"APP","APP"
"DGKI","DGKI"
"MCF2","MCF2"
"HYI","HYI"
"OGFRL1","OGFRL1"
"SNORA41","SNORA41"
"SNORD51","SNORD51"
"ZNF582","ZNF582"
"GLIPR1L1","GLIPR1L1"
"SNORD70B","SNORD70B"
"SNORD11B","SNORD11B"
"PDHB","PDHB"
"SNORD70","SNORD70"
"ITGA2B","ITGA2B"
"ZNF142",""
"CITED2","CITED2"
"LHFPL4","LHFPL4"
"","SNORD11"
"DBT","DBT"
"ZFP28","ZFP28"
"DCAF13","DCAF13"
"U6","RNU6-441P"
"RPAIN","RPAIN"
"GLIPR1L2","GLIPR1L2"
"THUMPD3","THUMPD3"
"FLRT1","FLRT1"
"ZNF641","ZNF641"
"U6","RNU6-984P"
"U6","RNU6-213P"
"U6","RNU6-546P"
"U6","RNU6-723P"
"U6","RNU6-532P"
"ELOVL1","ELOVL1"
"TXLNB","TXLNB"
"COPS7B","COPS7B"
"UBTD1","UBTD1"
"THOC3","THOC3"
"RTTN","RTTN"
"LRRC39","LRRC39"
"EXOSC1","EXOSC1"
"SBDS","SBDS"
"TMEM177","TMEM177"
"HMGXB3","HMGXB3"
"STIP1","STIP1"
"SNCB","SNCB"
"HECA","HECA"
"ASXL1","ASXL1"
"HTD2","HTD2"
"RPN1","RPN1"
"DAB2IP","DAB2IP"
"COL19A1","COL19A1"
"TMEM248","TMEM248"
"GPRIN1","GPRIN1"
"UBR1","UBR1"
"ASPN","ASPN"
"BCS1L","BCS1L"
"FERMT3","FERMT3"
"NUP88","NUP88"
"KRR1","KRR1"
"RIMS2","RIMS2"
"CDHR2","CDHR2"
"TRMT13","TRMT13"
"RNF25","RNF25"
"TRPT1","TRPT1"
"GPATCH8","GPATCH8"
"TBX22","TBX22"
"OGN","OGN"
"UTRN","UTRN"
"RNF44","RNF44"
"CEP83","CEP83"
"H1-7P","H1-7"
"UCKL1","UCKL1"
"FAM171A2","FAM171A2"
"MMS19","MMS19"
"OR8S2",""
"RABEP1","RABEP1"
"NPPC","NPPC"
"C12orf54","C12orf54"
"STK36","STK36"
"POU3F4","POU3F4"
"ABHD6","ABHD6"
"GRN","GRN"
"FAF2","FAF2"
"OMD","OMD"
"SCTR","SCTR"
"DIS3L2","DIS3L2"
"ATP11C","ATP11C"
"","ATP5PF"
"IARS1","IARS1"
"SUOX","SUOX"
"SLC25A39","SLC25A39"
"GABPA","GABPA"
"NOP16","NOP16"
"TMCC3",""
"SCIMP","SCIMP"
"TMEM92","TMEM92"
"SYT1","SYT1"
"CLTB","CLTB"
"TIGD6","TIGD6"
"IMPDH1","IMPDH1"
"RUNDC3A","RUNDC3A"
"TTLL4","TTLL4"
"MOB4","MOB4"
"CYYR1",""
"U6","RNU6-1206P"
"ZDHHC16","ZDHHC16"
"C29H10orf67","C10orf67"
"XYLT2","XYLT2"
"U6","RNU6-207P"
"SASS6","SASS6"
"TMEM37","TMEM37"
"ZNF594","ZNF594"
"IQCD","IQCD"
"ERBB3","ERBB3"
"eca-mir-361","MIR361"
"MIS18A","MIS18A"
"SLC4A1","SLC4A1"
"CCDC150","CCDC150"
"SIMC1","SIMC1"
"PAWR","PAWR"
"DNASE1L3","DNASE1L3"
"EBI3","EBI3"
"SLC26A2","SLC26A2"
"UBTF","UBTF"
"COL9A1","COL9A1"
"PTF1A","PTF1A"
"PGAM1","PGAM1"
"MRAP","MRAP"
"ANKRD24","ANKRD24"
"CPLX2","CPLX2"
"PDE6A","PDE6A"
"ZNF879","ZNF879"
"","ALPI"
"","ALPG"
"","ALPP"
"GAPVD1","GAPVD1"
"GRM6","GRM6"
"ADAM23","ADAM23"
"RRP12","RRP12"
"PPP1R12A","PPP1R12A"
"RITA1","RITA1"
"ZFP3","ZFP3"
"DBI","DBI"
"MRPL27","MRPL27"
"NDUFA12","NDUFA12"
"ARMC3","ARMC3"
"NUDT22","NUDT22"
"C18H2orf76","C2orf76"
"DDX54","DDX54"
"CYP27A1","CYP27A1"
"ATXN7L3","ATXN7L3"
"EME1","EME1"
"TMUB2","TMUB2"
"VEGFB","VEGFB"
"URB1","URB1"
"KIF1C","KIF1C"
"DNAJC4","DNAJC4"
"SHD","SHD"
"FKBP2","FKBP2"
"PRKAG3","PRKAG3"
"STEAP3","STEAP3"
"PPARGC1B","PPARGC1B"
"BLTP3B","BLTP3B"
"FAM135A","FAM135A"
"CFAP73","CFAP73"
"FGF20","FGF20"
"TMIGD2","TMIGD2"
"PPP1R14B","PPP1R14B"
"KIF3B","KIF3B"
"U6","RNU6-598P"
"U6","RNU6-646P"
"U6","RNU6-206P"
"RPL29","RPL29"
"MFSD14A","MFSD14A"
"GARIN1B","GARIN1B"
"U6","RNU6-661P"
"TUSC3","TUSC3"
"PLCB3","PLCB3"
"","IGKV2D-30"
"","IGKV2-30"
"U6","RNU6-131P"
"U6","RNU6-1027P"
"","SUCLG1"
"NOL4L","NOL4L"
"STAT3","STAT3"
"eca-mir-449a","MIR449A"
"eca-mir-8958",""
"FSD1","FSD1"
"RASAL1","RASAL1"
"eca-mir-449b","MIR449B"
"ACY1","ACY1"
"BLNK","BLNK"
"eca-mir-582","MIR582"
"CDAN1","CDAN1"
"STAP2","STAP2"
"GARIN1A","GARIN1A"
"PIP4K2A","PIP4K2A"
"OSR2","OSR2"
"CHRNE","CHRNE"
"HILPDA","HILPDA"
"WNT6","WNT6"
"","CDV3"
"MSR1","MSR1"
"NAV3","NAV3"
"MPND","MPND"
"CALU","CALU"
"LRRC59","LRRC59"
"OTUD1","OTUD1"
"WNT10A","WNT10A"
"NOL8","NOL8"
"ARHGEF37","ARHGEF37"
"TTBK2","TTBK2"
"BAD",""
"CDK5R2","CDK5R2"
"SLC35A3","SLC35A3"
"ZNF471","ZNF471"
"INCA1","INCA1"
"KCNK4","KCNK4"
"SGCZ","SGCZ"
"SPAG6","SPAG6"
"COMMD7","COMMD7"
"VPS13B","VPS13B"
"BARD1","BARD1"
"SLC25A11","SLC25A11"
"ZNF71","ZNF71"
"GPR137","GPR137"
"NR2C1","NR2C1"
"ZNF470","ZNF470"
"ECEL1","ECEL1"
"STAT5A","STAT5A"
"SOCS6","SOCS6"
"THNSL2","THNSL2"
"OPN1SW","OPN1SW"
"DTX1","DTX1"
"CATSPERZ","CATSPERZ"
"CLDN8","CLDN8"
"CDK5RAP2","CDK5RAP2"
"ZNF484","ZNF484"
"PRAG1","PRAG1"
"eca-mir-9024",""
"eca-mir-9030",""
"PRDX5","PRDX5"
"FABP1","FABP1"
"SH3GL1","SH3GL1"
"ABCD3","ABCD3"
"OAS2","OAS2"
"SPAG7","SPAG7"
"ESRRA","ESRRA"
"SMIM17","SMIM17"
"ZNF518A","ZNF518A"
"LONRF1","LONRF1"
"CSNK1A1","CSNK1A1"
"CCDC136","CCDC136"
"DNMT3B","DNMT3B"
"U6","RNU6-601P"
"TIAM1","TIAM1"
"MFSD14B","MFSD14B"
"ARHGAP21","ARHGAP21"
"ATOH8","ATOH8"
"ZNF835",""
"CCDC88B","CCDC88B"
"HEXIM1","HEXIM1"
"TRMT9B","TRMT9B"
"GP1BA","GP1BA"
"U6","RNU6-1278P"
"STARD9",""
"ESYT1","ESYT1"
"ACTR6","ACTR6"
"CMTM8","CMTM8"
"ACSS3","ACSS3"
"HEXIM2","HEXIM2"
"PRSS56","PRSS56"
"DLC1","DLC1"
"RNF152","RNF152"
"CCNJ","CCNJ"
"ENO3","ENO3"
"ABHD14A","ABHD14A"
"GNLY","GNLY"
"ARAP3","ARAP3"
"CHAF1A","CHAF1A"
"TAFA2","TAFA2"
"CC2D2B","CC2D2B"
"OR2BD2",""
"SMAP1","SMAP1"
"PCNX3","PCNX3"
"ABHD14B","ABHD14B"
"ZC3H10","ZC3H10"
"ABCA12","ABCA12"
"PFN1",""
"OR10AM8",""
"OAS3","OAS3"
"OR10AM7",""
"USP15","USP15"
"RNF167","RNF167"
"CHRND","CHRND"
"NMT1","NMT1"
"RRP9","RRP9"
"CNGA3","CNGA3"
"C11H17orf107","C17orf107"
"UBXN6","UBXN6"
"PEG3","PEG3"
"DISP1","DISP1"
"NDFIP2","NDFIP2"
"RABGEF1","RABGEF1"
"MINK1","MINK1"
"KIAA1217","KIAA1217"
"FGD6","FGD6"
"PIGN","PIGN"
"VWA3B","VWA3B"
"OAS1","OAS1"
"C27H8orf48","C8orf48"
"IZUMO2","IZUMO2"
"PHACTR2","PHACTR2"
"SEMA4D","SEMA4D"
"DUSP4","DUSP4"
"ARHGAP29","ARHGAP29"
"MON2","MON2"
"B3GAT2","B3GAT2"
"HDGFL2","HDGFL2"
"TNKS","TNKS"
"DPF2","TIGD3"
"CHRNG","CHRNG"
"ENTPD1","ENTPD1"
"PPFIA2","PPFIA2"
"KCTD7","KCTD7"
"MYH14","MYH14"
"IL17B","IL17B"
"UNC80","UNC80"
"OVCA2","DPH1"
"ACBD4","ACBD4"
"","CDC14C"
"","CDC14B"
"PLIN4","PLIN4"
"SOD1","SOD1"
"GRPEL2","GRPEL2"
"CENPA","CENPA"
"RPH3A","RPH3A"
"GPHA2","GPHA2"
"GLOD4","GLOD4"
"DUSP10","DUSP10"
"LRG1","LRG1"
"CDC20","CDC20"
"SCAF4","SCAF4"
"PLCD3","PLCD3"
"AFAP1L1","AFAP1L1"
"PPP1R3B","PPP1R3B"
"SLC35F6","SLC35F6"
"FLNC","FLNC"
"RSAD1","RSAD1"
"","CKS2"
"MRM3","MRM3"
"PLIN5","PLIN5"
"EIF4E2","EIF4E2"
"TPC3",""
"MPL","MPL"
"TGFB2","TGFB2"
"SEMA6B","SEMA6B"
"LALBA","LALBA"
"ACSF2","ACSF2"
"SLC22A11","SLC22A11"
"ERI1","ERI1"
"DEPDC4","DEPDC4"
"GEMIN4","GEMIN4"
"TNFAIP8L1","TNFAIP8L1"
"H1-10","H1-10"
"DCAKD","DCAKD"
"SECISBP2","SECISBP2"
"TIE1","TIE1"
"ZNF454","ZNF454"
"TCTN3","TCTN3"
"TPST1","TPST1"
"C1QL1","C1QL1"
"RAB7A","RAB7A"
"EFCAB8","EFCAB8"
"SLC22A12","SLC22A12"
"SLITRK1","SLITRK1"
"C2H1orf210","C1orf210"
"KIF18B","KIF18B"
"TBX5","TBX5"
"RRP15","RRP15"
"MFHAS1","MFHAS1"
"ZFP2","ZFP2"
"TLCD3A","TLCD3A"
"CIB4","CIB4"
"SPRY2","SPRY2"
"FEM1A","FEM1A"
"SLC2A1","SLC2A1"
"RAB11FIP5","RAB11FIP5"
"FCHSD1","FCHSD1"
"GPR62","GPR62"
"CXHXorf66","CXorf66"
"PARP3","PARP3"
"CLDN17","CLDN17"
"KDM4B","KDM4B"
"NRXN2","NRXN2"
"GFAP","GFAP"
"VPS53","VPS53"
"KRTAP24-1","KRTAP24-1"
"PPM1H","PPM1H"
"KANSL2","KANSL2"
"NRG1","NRG1"
"ZNF691","ZNF691"
"TRABD2A","TRABD2A"
"KRTAP25-1","KRTAP25-1"
"EMX1","EMX1"
"ZNF354B","ZNF354B"
"GIGYF2","GIGYF2"
"CRCP","CRCP"
"SLITRK5","SLITRK5"
"","KRTAP26-1"
"COPG1","COPG1"
"FUCA2","FUCA2"
"NOTO","NOTO"
"GPR151","GPR151"
"KCNK3","KCNK3"
"AVPR1A","AVPR1A"
"IQCF5","IQCF5"
"VEZT","VEZT"
"BMP10","BMP10"
"SUN5","SUN5"
"FAM187A","FAM187A"
"","UFM1"
"GPC5","GPC5"
"ZNF354A","ZNF354A"
"RGS22","RGS22"
"CCDC103","DNAAF19"
"CLEC4F","CLEC4F"
"RXYLT1","RXYLT1"
"IQCF2","IQCF2"
"TLR5","TLR5"
"EFTUD2","EFTUD2"
"TICAM1","TICAM1"
"DRC1","DRC1"
"RELL2","RELL2"
"PROP1","PROP1"
"SRGAP1","SRGAP1"
"ETAA1","ETAA1"
"PSMD5","PSMD5"
"ORAI1","ORAI1"
"CCNT1","CCNT1"
"BPIFB2","BPIFB2"
"CLK4","CLK4"
"RAB21","RAB21"
"MYCBPAP","MYCBPAP"
"","RPE"
"","RPEL1"
"MORN3","MORN3"
"PLIN3","PLIN3"
"","IQCF2"
"PEX3","PEX3"
"KCMF1","KCMF1"
"IQCF6","IQCF6"
"SPRED2","SPRED2"
"ALDH18A1","ALDH18A1"
"HDAC3","HDAC3"
"SLITRK6","SLITRK6"
"SCYL2","SCYL2"
"GRM2","GRM2"
"KANSL1L","KANSL1L"
"BPIFB6","BPIFB6"
"TMEM120B","TMEM120B"
"TBC1D15","TBC1D15"
"UCHL3","UCHL3"
"BPNT1","BPNT1"
"ARRDC5","ARRDC5"
"DNAH6","DNAH6"
"ASL","ASL"
"CHAD","CHAD"
"RPH3AL","RPH3AL"
"ODAD2","ODAD2"
"UHRF1","UHRF1"
"PPP3R1","PPP3R1"
"SELENOI","SELENOI"
"TEX264","TEX264"
"EPN3","EPN3"
"PHF19","PHF19"
"BPIFB3","BPIFB3"
"DIAPH1",""
"ADCY6","ADCY6"
"ADAT2","ADAT2"
"ADGRF3","ADGRF3"
"KICS2","KICS2"
"HIGD1B","HIGD1B"
"GABRQ","GABRQ"
"","ACADL"
"C6H12orf56","C12orf56"
"IARS2","IARS2"
"GJC1","GJC1"
"TNFRSF11A","TNFRSF11A"
"","CAP1"
"GPR50","GPR50"
"MKX","MKX"
"SLC17A8","SLC17A8"
"DUSP26","DUSP26"
"KCP","KCP"
"BPIFB4","BPIFB4"
"AIG1","AIG1"
"HADHB","HADHB"
"PTPRS","PTPRS"
"GABRE","GABRE"
"SPATA20","SPATA20"
"RHOF","RHOF"
"MYL1","MYL1"
"ADAM11","ADAM11"
"RNF122","RNF122"
"CNGA2","CNGA2"
"DMRTB1","DMRTB1"
"UNC45B","UNC45B"
"SORBS1","SORBS1"
"FGFR4","FGFR4"
"DHCR24","DHCR24"
"RAB18","RAB18"
"LIAT1","LIAT1"
"","VMA21"
"NR1H4","NR1H4"
"IRF5","IRF5"
"CRK","CRK"
"SETD1B","SETD1B"
"PASD1","PASD1"
"PLEK","PLEK"
"XPOT","XPOT"
"KCNC2","KCNC2"
"LANCL1","LANCL1"
"CACNB3","CACNB3"
"ABCA9","ABCA9"
"CACNA1G","CACNA1G"
"MYO1C","MYO1C"
"RAB3GAP2","RAB3GAP2"
"GARIN5B","GARIN5B"
"CIMAP2","CIMAP2"
"AVPR2","AVPR2"
"SUCLG1","SUCLG1"
"HIVEP2","HIVEP2"
"CLDN23","CLDN23"
"PCDHGC5","PCDHGC5"
"C11H17orf67","C17orf67"
"EPS8L1","EPS8L1"
"METAP2","METAP2"
"ARHGAP4","ARHGAP4"
"TTC22","TTC22"
"RELCH","RELCH"
"UBXN8","UBXN8"
"SLC15A4","SLC15A4"
"C8A","C8A"
"DGKE","DGKE"
"PNO1","PNO1"
"TNPO3","TNPO3"
"GUSB","GUSB"
"GSR","GSR"
"PCDHB14","PCDHB14"
"CPS1","CPS1"
"OTOGL","OTOGL"
"ZNF346","ZNF346"
"TBK1","TBK1"
"HOOK1","HOOK1"
"TMEM132E","TMEM132E"
"BMI1","BMI1"
"INPP5K","INPP5K"
"PCDHB2","PCDHB2"
"TRAF1","TRAF1"
"KCNJ2","KCNJ2"
"SPAG1","SPAG1"
"RASGRP2","RASGRP2"
"LYG1","LYG1"
"USP44","USP44"
"VKORC1L1","VKORC1L1"
"GLT1D1","GLT1D1"
"C1D","C1D"
"SAFB2","SAFB2"
"ANKFN1","ANKFN1"
"HADHA","HADHA"
"COMMD3","COMMD3"
"PITPNA","PITPNA"
"EIF2AK3","EIF2AK3"
"C5","C5"
"TXNRD1","TXNRD1"
"KCNJ13","KCNJ13"
"SKIDA1","SKIDA1"
"PHLDA1",""
"SMIM18","SMIM18"
"","PCDHA7"
"","PCDHA9"
"DDX23","DDX23"
"","C20orf144"
"CHCHD2","CHCHD2"
"SLC39A12","SLC39A12"
"NAP1L1","NAP1L1"
"GLI1","GLI1"
"RBPMS","RBPMS"
"SNORC","SNORC"
"","DLGAP5"
"KCNJ16","KCNJ16"
"CBFA2T2","CBFA2T2"
"eca-mir-30c-2","MIR30C2"
"NGEF","NGEF"
"ISY1","ISY1"
"NUPR2","NUPR2"
"PYGM","PYGM"
"UIMC1","UIMC1"
"PHKG1","PHKG1"
"RAD54L2","RAD54L2"
"SERTAD2","SERTAD2"
"RNF19A","RNF19A"
"PTCHD3","PTCHD3"
"SAFB","SAFB"
"CNBP","CNBP"
"CCT6A","CCT6A"
"ACADL","ACADL"
"eca-mir-9181",""
"YME1L1","YME1L1"
"MAP2K6","MAP2K6"
"","RAB43"
"FSIP1",""
"MIR128-1","MIR128-1"
"GAREM2","GAREM2"
"DDN","DDN"
"SNORA84","SNORA84"
"ZCCHC2","ZCCHC2"
"PDLIM1","PDLIM1"
"eca-let-7f","MIRLET7F1"
"ARHGAP9","ARHGAP9"
"eca-let-7d","MIRLET7D"
"LONP1","LONP1"
"GP9","GP9"
"MIRLET7A1","MIRLET7A1"
"R3HDM1","R3HDM1"
"NECAB3","NECAB3"
"MARK1",""
"HVCN1","HVCN1"
"eca-mir-8949",""
"HK3","HK3"
"OSBPL8","OSBPL8"
"BICD2","BICD2"
"CYP2C107",""
"PRKAG1","PRKAG1"
"NEU2","NEU2"
"PSPH","PSPH"
"KIF3C","KIF3C"
"EFCC1",""
"PLXNB3","PLXNB3"
"ANKRD46","ANKRD46"
"ACTR2","ACTR2"
"SF1","SF1"
"SPMIP9","SPMIP9"
"INPP5D","INPP5D"
"CNTRL","CNTRL"
"FOXI3","FOXI3"
"CEP68","CEP68"
"CFAP92","CFAP92"
"U6","RNU6-75P"
"ASXL2","ASXL2"
"UNC5A","UNC5A"
"ACOXL","ACOXL"
"CYP2J2","CYP2J2"
"eca-mir-19b","MIR19B1"
"HCCS","HCCS"
"MARS1","MARS1"
"MIR18A","MIR18A"
"eca-mir-17","MIR17"
"CYP2C108",""
"MICOS13","MICOS13"
"MIR20A","MIR20A"
"SNX31","SNX31"
"eca-mir-19a","MIR19A"
"CYP2C92",""
"ARHGAP6","ARHGAP6"
"RPL36","RPL36"
"SAG","SAG"
"ACTL10","ACTL10"
"TSPAN33","TSPAN33"
"PXMP4","PXMP4"
"C8B","C8B"
"HSD11B1L","HSD11B1L"
"RASGEF1C","RASGEF1C"
"PPP1CC","PPP1CC"
"LHX1","LHX1"
"RAB1A","RAB1A"
"KMT2D","KMT2D"
"ZNF341","ZNF341"
"ERMAP","ERMAP"
"DGKD","DGKD"
"FYB2","FYB2"
"SMO","SMO"
"SLFN5","SLFN5"
"ABCA10","ABCA10"
"C30H1orf115","C1orf115"
"MTNR1A","MTNR1A"
"SVBP","SVBP"
"CATSPERD","CATSPERD"
"EID3","EID3"
"TRIML1","TRIML1"
"BCL2L11","BCL2L11"
"NIPSNAP2","NIPSNAP2"
"MTARC2","MTARC2"
"JCAD","JCAD"
"TMEM269",""
"TRIML2","TRIML2"
"MASTL","MASTL"
"CHST11","CHST11"
"C2H1orf50","C1orf50"
"MAP4K2","MAP4K2"
"CALD1","CALD1"
"PABPC1","PABPC1"
"MTARC1","MTARC1"
"ACAD9","ACAD9"
"ZFP42","ZFP42"
"AMELX","AMELX"
"RPA4","RPA4"
"BSND","BSND"
"RNF130","RNF130"
"ZNRF4","ZNRF4"
"CCT6B","CCT6B"
"HLX","HLX"
"ZNF713","MRPS17"
"FAT1","FAT1"
"PRKAA2","PRKAA2"
"BCAP31","BCAP31"
"DCAF1","DCAF1"
"TCTN1","TCTN1"
"DIAPH2","DIAPH2"
"MTPAP","MTPAP"
"CYP2C111",""
"SLC1A4","SLC1A4"
"RALB","RALB"
"ZNF713",""
"FAM177B","FAM177B"
"BBS10","BBS10"
"CYP2C110",""
"DDIT3","DDIT3"
"MAP3K8","MAP3K8"
"MBD6","MBD6"
"ABCD1","ABCD1"
"DTNB","DTNB"
"BROX","BROX"
"ZDHHC17","ZDHHC17"
"SEPTIN14","SEPTIN14"
"DCTN6","DCTN6"
"ACBD5","ACBD5"
"MSL3","MSL3"
"MSL3","MSL3B"
"MEN1","MEN1"
"AHSP","AHSP"
"DCTN2","DCTN2"
"PTPN4","PTPN4"
"VAX2","VAX2"
"RUSF1","RUSF1"
"IDH3G","IDH3G"
"BAMBI","BAMBI"
"SLC41A2","SLC41A2"
"PCDH11X","PCDH11X"
"PCDH11X","PCDH11Y"
"IQSEC1","IQSEC1"
"MEIS1","MEIS1"
"TMEM140","TMEM140"
"EHD1","EHD1"
"TMEM61","TMEM61"
"ATG2A","ATG2A"
"ZNF830","ZNF830"
"MBOAT4","MBOAT4"
"ABCA5","ABCA5"
"U6","RNU6-354P"
"U6","RNU6-610P"
"PPP1R12C","PPP1R12C"
"LEPROTL1","LEPROTL1"
"ECSCR","ECSCR"
"PLPP3","PLPP3"
"HEATR6","HEATR6"
"PARD3","PARD3"
"U6","RNU6-752P"
"U6","RNU6-1301P"
"eca-mir-155","MIR155"
"CHMP4B","CHMP4B"
"CHMP4B","CHMP4BP1"
"ANOS1","ANOS1"
"eca-mir-9027",""
